name,email,phone
John Doe,john.doe@example.com,+919876543210
Jane Smith,jane.smith@example.com,+919812345678
John Doe,john.doe@example.com,+919876543210
Amit Kumar,amit.kumar@example.com,+919900112233
Priya Sharma,priya.sharma@example.com,+919811122233
Jane Smith,jane.smith@example.com,+919812345678
Rahul Verma,rahul.verma@example.com,+919845123456
Sneha Reddy,sneha.reddy@example.com,+919888776655
Amit Kumar,amit.kumar@example.com,+919900112233
Vikram Singh,vikram.singh@example.com,+919777889900
Neha Gupta,neha.gupta@example.com,+919666554433
Rahul Verma,rahul.verma@example.com,+919845123456
Karan Mehta,karan.mehta@example.com,+919555443322
Ananya Iyer,ananya.iyer@example.com,+919444332211
Sneha Reddy,sneha.reddy@example.com,+919888776655
